Original Text,Translated to English,Topic
No,No,nothing
Your website is not for fun. It is strictly for professionals and please put a lot of effort in organizing the information so that it is LINKED to the Commission and EP material because you all work for the same common goal after all. Thank you and hope you have a nice day.,Your website is not for fun. It is strictly for professionals and please put a lot of effort in organizing the information so that it is LINKED to the Commission and EP material because you all work for the same common goal after all. Thank you and hope you have a nice day.,website
"Zajímám se o obnovitelné zdroje. Máte aktuální statistiku jak je na tom ČR v oblasti výroby a spotřeby VtE, FVE a green H2 v roce 2022 a 2023?","I am interested in renewable sources. Do you have current statistics How is the Czech Republic in the production and consumption of VTE, PVE and Green H2 in 2022 and 2023?",document
"If you can, PLZ show us the page update history.","If you can, PLZ show us the page update history.",opinion
Chatbots für allgemeine Fragen z. B. KI die 24/7 bereits die Entscheidungen des Rates kommuniziert und die auf neustem Stand rechtliche Fragen beantwortet.,Chatbots for general questions z. B. KI already communicates the 24/7 the decisions of the council and which at the latest answered legal questions.,opinion
Headlines on key topics that are under discussion could benefit those who seeks to focus on key new topics.,Headlines on key topics that are under discussion could benefit those who seeks to focus on key new topics.,opinion
"A SOLUTION EXISTS. It won't cost the Treasury anything. Top politicians. What you are doing to reduce emissions is definitely not enough! You are making decisions about our health and unnecessary premature deaths. In doing so, you can rapidly increase the pace of emission reductions that also contribute to global warming! Emissions from all engines, diesel, petrol and LPG, cause 11 000 premature deaths a year in the Czech Republic. Over 400 000 in Europe and over 7 000 000 unnecessary deaths worldwide! Top politicians. You can make a change quickly, easily and without investment. All fuel manufacturers need to do is add the new additives we recommend to their fuels, which will reduce emissions and fuel consumption by 10 per cent or more through better combustion. Just like they enacted in Austria in 2015 (then it was only diesel and only by 2.6%). In financial terms, this means that the cost of the additive is paid for by the savings in consumption. It will cost the state coffers nothing. Cars, trucks, bulldozers, locomotives, boats and lawnmowers.... will harm us 10% less. If you want to help make this happen, contact us for more information. For the benefit of limiting global warming, for the benefit of the health and lives of us all. Please. Inform all top politicians as best you can. Best wishes, so that together we can end the silence on these possibilities. Milan Bartos Mobile: +420 776 107 056 Czech only. E-mail: 1bartos@seznam.cz Technical assistance. Ing. Stanislav Šafář","A SOLUTION EXISTS. It won't cost the Treasury anything. Top politicians. What you are doing to reduce emissions is definitely not enough! You are making decisions about our health and unnecessary premature deaths. In doing so, you can rapidly increase the pace of emission reductions that also contribute to global warming! Emissions from all engines, diesel, petrol and LPG, cause 11 000 premature deaths a year in the Czech Republic. Over 400 000 in Europe and over 7 000 000 unnecessary deaths worldwide! Top politicians. You can make a change quickly, easily and without investment. All fuel manufacturers need to do is add the new additives we recommend to their fuels, which will reduce emissions and fuel consumption by 10 per cent or more through better combustion. Just like they enacted in Austria in 2015 (then it was only diesel and only by 2.6%). In financial terms, this means that the cost of the additive is paid for by the savings in consumption. It will cost the state coffers nothing. Cars, trucks, bulldozers, locomotives, boats and lawnmowers.... will harm us 10% less. If you want to help make this happen, contact us for more information. For the benefit of limiting global warming, for the benefit of the health and lives of us all. Please. Inform all top politicians as best you can. Best wishes, so that together we can end the silence on these possibilities. Milan Bartos Mobile: +420 776 107 056 Czech only. E-mail: 1bartos@seznam.cz Technical assistance. Ing. Stanislav Šafář",email
"Egy kiegyensúlyozott cikk kívánna olyan paragrafust is, hogy Melyek a lehetséges hátrányok, kritikák?","A balanced article would also wish for a paragraph as to be possible disadvantages, criticisms?",document
"Include additional reference URLs, perhaps as a sidebar on each page","Include additional reference URLs, perhaps as a sidebar on each page",opinion
Apartado de lo que son las finanzas descentralizadas?,Section of what decentralized finances are?,opinion
"Die Öffentlichkeit sollte informiert werden, dass es diese Seite gibt; also eine Form der Bewerbung wünschte ich mir, aber illusorisch.","The public should be informed that this page exists; So I wanted a form of application, but illusory.",opinion
Not at this time,Not at this time,nothing
no,no,nothing
"bien posicionado en SEO, fácil de encontrar con buscadores externos la información. Falta mejorar la navegación interna. Además de publicitar el propio contenido de la web dentro de si misma, hay elementos que yo no se que existen dentro de la web y por eso es más dificil que los utilice.","Well positioned in SEO, easy to find with external search engines the information. I need to improve internal navigation. In addition to advertising the content of the web within itself, there are elements that I do not know that exist within the web and that is why it is more difficult for them to use.",search engine
Thanks!,Thanks!,nothing
nie,NO,nothing
Por ahora no,Not for now,nothing
Il faut publier plus de documents en Français et moins en anglais. Les anglais sont sortis de l'UE ! La langue primaire de l'UE est le français.,More documents must be published in French and less in English. The English came out of the EU! The primary language of the EU is French.,translation
It would be useful to know that Prado is up-to-date,It would be useful to know that Prado is up-to-date,document
No,No,nothing
Jeux de données sur des sujets de planification stratégique intégrée Imputabilité des états-élu.e.s en terme d'atteinte des objectifs basé sur des indicateurs solides,Data games on integrated strategic planning subjects accountability of elected states in terms of objectives based on solid indicators,opinion
popolno,completely,opinion
"More on AI, the future of automation, the risks, profits and how to maintain balance while using AI effectively","More on AI, the future of automation, the risks, profits and how to maintain balance while using AI effectively",opinion
More glossaries would be interesting for me,More glossaries would be interesting for me,opinion
none,none,nothing
"I like it. Maybe, it should be beneficial to add monthly subscription for legal projects (Law drafting).","I like it. Maybe, it should be beneficial to add monthly subscription for legal projects (Law drafting).",opinion
"Arrêtez la guerre en Ukraine et arrêtez de suivre les va-t'en guerre. Arrêtez les politique d'abrutissement des populations européennes. Arrêtez la vassalisation de l'Europe à Washington. Établissez toutes les convergences entre l'Ukraine, les pays européens, la Russie et leurs voisins.","Stop the war in Ukraine and stop following the war. Stop the abstraction policy of European populations. Stop the vassalization of Europe in Washington. Establish all the convergences between Ukraine, European countries, Russia and their neighbors.",opinion
Il est important de préciser ce qui est confirmé comme règlementaire est ce qui est encore en cours de discussion.,It is important to specify what is confirmed as regulatory is what is still under discussion.,opinion
Simplifiez autant que possible l'information de départ mais fournissez plus de liens vers toutes la documentation aussi technique soit-elle afin de garantir la plus grande transparence sur vos décisions pour le citoyen,Simplify the starting information as much as possible but provide more links to all the documentation as technical as it is to guarantee the greatest transparency on your decisions for the citizen,information
"J'ai beaucoup apprécié le Prado à l'été 1982, Goya doit être remercié (et sa famille).","I really appreciated the Prado in the summer of 1982, Goya must be thanked (and his family).",document
Se fosse possibile fare una dom e ricevere subito una risposta,If it were possible to make a Sun and immediately receive an answer,document
no,no,nothing
"Not yet, how i wrote before, it's my first visit in here","Not yet, how i wrote before, it's my first visit in here",nothing
The document register is well organised. The photos and videos are other material is very difficult to navigate. The search functions are very weak. I use this site almost every day.,The document register is well organised. The photos and videos are other material is very difficult to navigate. The search functions are very weak. I use this site almost every day.,search engine
Less BS and focus on facts.,Less BS and focus on facts.,search engine
Ji tobula,She's perfect,website
Verbessertes Inhalts/Übersichtsverzeichnis,Improved content/overview directory,search engine
"Potrzebna jest większa integracja pomiędzy podstronami z lepszym algorytmem wyszukiwania informacji na portalu. Wiele materiałów nie jest odnajdywane poprzez funkcje szukaj (pomimo tego, że można jest ręcznie ""wyklikać"")","You need a greater integration between subpages with a better algorithm for searching for information on the portal. Many materials are not found through the Search functions (despite the fact that you can ""click"" manually)",search engine
x,x,nothing
"Es ist sehr strukturiert, was mir sehr gefällt","It is very structured, which I like very much",website
catalogare meglio gli argomenti e la normativa attinente,better catalog the topics and the relevant legislation,search engine
Szívesen hozzá írnék a who szerződéshez,I would like to write to the WHO contract,opinion
"Do recognize there are other alternative fuels, HVO as example. How credible H2 systems when electric is so much mor officiant and less costly. Is this another hidden EU agenda.-","Do recognize there are other alternative fuels, HVO as example. How credible H2 systems when electric is so much mor officiant and less costly. Is this another hidden EU agenda.-",opinion
non dichiara,does not declare,nothing
Please update the official documents with more recent documentation. Some countries do not even have a Passport associated to them,Please update the official documents with more recent documentation. Some countries do not even have a Passport associated to them,passport
"Yhtenäiset luettelot jotka suodatettavissa päivien mukaan (aiakjärjestyksessä), aihejärjestyksessä, kokoonpanojärjestyksessä","Uniform lists that can be filtered according to days (in order), in order, in order of assembly",opinion
NIE,NO,nothing
Non sono esperto e quindi non riesco a dare suggerimenti.,I'm not an expert and therefore I can't give suggestions.,suggestion
"It would be good to have Council documents integrated in Eur-Lex. It is only via Google that I can find documents, e.g., from trilogue negotiations in a reliable manner.","It would be good to have Council documents integrated in Eur-Lex. It is only via Google that I can find documents, e.g., from trilogue negotiations in a reliable manner.",document
.,.,nothing
No,No,nothing
no comment,no comment,comment
Rendben van jelenleg.,It's okay right now.,opinion
Zoeken op steekwoorden in de actualiteit mogelijk maken,Making searching for catchwords in current events possible,document
Mehr und detailiertere Statistiken,More and more detailed statistics,information
-,-,nothing
Más contenido en español. Diferenciar bien cada organismo. Explicar y aclarar bien las diferencias de cada organismo,More Spanish content. Differentiate each organism well. Explain and clarify well the differences of each organism,opinion
"Peut-être un vrai guide de base pdf avec des sections d'information de base et des sections ou des compléments pour ceux qui cherchent des choses plus spécifiques et qui se voudrait exhaustif et mis à jour tous les mois ou tous les trimestres. Idéalement, un guide qui permette de voir la globalité de tout ce qu'offre le site et la possibilité d'aller également dans le détail dans des sections ad hoc.","Perhaps a real basic PDF guide with basic information sections and sections or supplements for those who seek more specific things and which would be exhaustive and updated every month or all quarters. Ideally, a guide that allows you to see the whole of everything that the site offers and the possibility of also going into detail in ad hoc sections.",opinion
Ne pas consulter pour enquête au cours de la lecture,Do not consult for investigation during reading,suggestion
To moja pierwsza wizyta. Obejrzałam tylko jego pierwszą stronę. Może przy innej okazji się wypowiem.,This is my first visit. I only watched his first page. Maybe I will speak on another occasion.,nothing
nu,not,nothing
"Todavía no, acabo de entrar, si la pregunta me la hacéis dentro de unos meses, es posible.","Not yet, I just entered, if you ask the question in a few months, it is possible.",opinion
Adjuntar la documentación que se presenta o debate en las reuniones del Consejo,Attach the documentation presented or debate at the Council meetings,opinion
Nein,No,nothing
Enquête achteraf en niet terwijl ik de info probeer te lezen.,Survey afterwards and not while I try to read the info.,website
Non,Non,nothing
Zwiekszyc zasieg,Increase the range,opinion
not at this point in time,not at this point in time,opinion
no ahora,Not now,nothing
Ne használjanak fordító robotot,Do not use a translation robot,translation
Kas 3 val viskas atnaujinama turetu buti,Every 3 hours everything is upgraded should be,opinion
Dovreste ardere tra le fiamme dell'inferno.,You should burn in the flames of hell.,opinion
nie,NO,nothing
Nej,Her,nothing
Noch nicht,Not yet,nothing
Aggiornare PRADO con ulteriori documenti e loro utilità,Update Prado with further documents and their usefulness,document
Nie,NO,nothing
Die Umfrage gefällt mir nicht.,I don't like the survey.,website
Nincs,There is no,nothing
HO VISTO POCO,I saw little,search engine
no,no,nothing
"No, de momento",Not now,nothing
Nu,Not,nothing
"Please add a x2 video speed for the streaming of council sessions in playback, also a better way to find documents","Please add a x2 video speed for the streaming of council sessions in playback, also a better way to find documents",document
nein,no,nothing
"Un poco más de crítica a eeuu y más poner en valor la UE, aunque los eeuu nos llamen colonialistas, con la simple escusa de mandar ellos. Eso no puede ser. Es contraproducente.","A little more criticism of the US and more value the EU, although the US call us colonialists, with the simple excuse to send them. That can not be. It is counterproductive.",opinion
Die klare Struktur beibehalten.,Keep the clear structure.,opinion
"It'd be really nice to get the information (1) insight situation behind the published information, such as the on-going progress of a certain important subject before the official decision, including the different position of the MS, (2) schedule of such important subject discussion/decision making expected timing, (3) sometimes, it's not easy to understand in which level that the subject is situated either at European Commission level, Partliament or Council, so it'd be great if you can visualize where it is .","It'd be really nice to get the information (1) insight situation behind the published information, such as the on-going progress of a certain important subject before the official decision, including the different position of the MS, (2) schedule of such important subject discussion/decision making expected timing, (3) sometimes, it's not easy to understand in which level that the subject is situated either at European Commission level, Partliament or Council, so it'd be great if you can visualize where it is .",opinion
"Dovreste tradurre tutte le pagine e i documenti anche in italiano, e non solo in inglese.","You should translate all pages and documents also into Italian, and not only in English.",document
Nie,NO,nothing
"klare Themenlisten, Sortierung nach Thema, Medium, Aktualität usw.","Clear thematic lists, sorting by topic, medium, topicality, etc.",opinion
Aktualisierungen zu einem bestimmten Thema markieren.,Mark updates on a specific topic.,opinion
"Přesnější informace, jsou velmi obecné a poté až příliš detailní v dokumentech je stažení",More accurate information is very general and then too detailed in the documents is download,document
As an Englishman very pro European it would be most useful for European matters to show how UK could and should integrate into them indeed how Brexit should be undone!,As an Englishman very pro European it would be most useful for European matters to show how UK could and should integrate into them indeed how Brexit should be undone!,opinion
"J'utilise la fonction ""Filtrer par thème"" mais celle-ci n'est pas pratique si l'on s'intéresse à plusieurs thèmes. Dans mon cas : Energie, Environnement, Europe numérique, Neutralité climatique, Protection des consommateurs, Recherche et développement technologique, Transports. Dans ce cas, à chaque nouvelle coche, il faut redescendre sur la page, recliquer sur ""voir tous les thèmes"", et la page se rafraichit à chaque fois.","I use the ""Filter by theme"" function but it is not practical if we are interested in several themes. In my case: Energy, Environment, Digital Europe, Climate neutrality, Consumer Protection, Research and Technological Development, Transport. In this case, with each new checkout, you have to go back down to the page, receive ""see all the themes"", and the page is refreshing each time.",opinion
co nejrychleji v mém rodném jazyce - česky,As quickly as possible in my native language - Czech,translation
Proposer l'espéranto parmi les langues accessibles,Propose Esperanto among accessible languages,translation
"Non saprei, anche se il problema è che molti messaggi non sono nella mia lingua","I don't know, even if the problem is that many messages are not in my language",translation
"Der mangler en tilbage-knap, når man er inde og kigge på dokumenter til rådsmøderne.",A back button is missing when you look at documents for the council meetings.,document
Bisschen zu wenige freizügige frauen. die hier in griechenland sind viel besser.,A little too few revealing women. Those here in Greece are much better.,search engine
The search function for Council documents could be improved. (Preferably by integrating it with other official EU documents in a single - easy to use - searchengine.),The search function for Council documents could be improved. (Preferably by integrating it with other official EU documents in a single - easy to use - searchengine.),document
NO,NO,nothing
No,No,nothing
"Please, also in the future, keep to facts in your press releases and do not give in to adapting the texts to what someone would assume could be the possible needs of the everyday voters. This means that please mention the document in question using its actual name, who has done what, and where can the documents be found. The quality of the press releases has been fairly ok compared to the other institutions. E.g., the EP's press releases today are a disaster, when the focus is on spelling to journalists how the document under scrutiny benefits citizens, and omits the facts of ""who, what, when and where"". It happens quite often that they even forget to mention which was the document they are writing about!","Please, also in the future, keep to facts in your press releases and do not give in to adapting the texts to what someone would assume could be the possible needs of the everyday voters. This means that please mention the document in question using its actual name, who has done what, and where can the documents be found. The quality of the press releases has been fairly ok compared to the other institutions. E.g., the EP's press releases today are a disaster, when the focus is on spelling to journalists how the document under scrutiny benefits citizens, and omits the facts of ""who, what, when and where"". It happens quite often that they even forget to mention which was the document they are writing about!",document
"You probably have the website in order, but you should allow your opinion about Europe, and you should not twist between the values ​​of the European Union, and the national values ​​of the member states, because this is creating confusion for the values ​​of Europe, and not makes you united in these difficult times!","You probably have the website in order, but you should allow your opinion about Europe, and you should not twist between the values ​​of the European Union, and the national values ​​of the member states, because this is creating confusion for the values ​​of Europe, and not makes you united in these difficult times!",opinion
Keep PRADO up to date (some countries without information),Keep PRADO up to date (some countries without information),information
Zatím se orientuji a nemám žádné komentáře nebo připomínky.,So far I have orientated myself and have no comments or comments.,comment
"No, ma a volte incontro qualche difficoltà nel reperire informazioni","No, but sometimes I encounter some difficulties in finding information",information
Nein,No,nothing
bessere Suchmaschine für Dokumenten-INHALTE,Better search engine for documents content,document
passt,fits,nothing
un site qui fonctionne depuis vendredi 22sep2023 15h00 soit 68h de coupure ! inadmissible de pas le voir dans les médias...,A site that has been working since Friday 22sep2023 3:00 p.m. or 68 hours of cut! Inadmissible not to see it in the media ...,opinion
Gracias,Thank you,nothing
Kerron ensi kerralla,I'll tell you next time,opinion
Es bastante rápida la navegación,Navigation is quite fast,opinion
mai multă informație cu privire la sănătatea plantelor,More information on plant health,information
"Ne, passt so!","No, it fits!",nothing
Ne,It is,nothing
nej,her,nothing
"Please make less self promotion and go more to the point. We need to find informations, no to be convinced","Please make less self promotion and go more to the point. We need to find informations, no to be convinced",information
Einfachere Bedienung und bessere Suchmöglichkeit / Stichwortsuche,Easier operation and better search option / keyword search,search engine
Allo stato attuale no,"At present, no",search engine
No,No,nothing
eine bessere Gliederung und eine Erweiterung der Suchfunktionen,a better structure and an expansion of the search functions,search engine
no,no,nothing
"Weniger kleingedruckte Texte, mehr groessere Titel, mehr Infos im Voraus, was geschieht naechste Woche, was wird morgen, usw. Kann man eine schwarze Seite mit dem weissen Text haben?","Less small printed texts, more great titles, more information in advance, what happens next week, what will be tomorrow, etc. can you have a black side with the white text?",information
"L'impact du Conseil sur les projets/propositions de Directive est très difficile à suivre et manque complètement de TRANSPARENCE. Concrètement : une fois un projet de Directive déposé par la Commission il est assez simple de suivre les avis divers et les modification proposées par le Parlement européen. Une fois le texte soumis au Conseil c'est l'opacité totale pour suivre pourquoi, par qui et avec quelles MOTIVATIONs le texte final de la Directive a été modifié au niveau du Conseil.","The impact of the advice on projects/proposals for directive is very difficult to follow and completely lacks transparency. Concretely: once a project of directive submitted by the Commission, it is quite simple to follow the various opinions and the modification proposed by the European Parliament. Once the text submitted to the Council is the total opacity to follow why, by which and with what motivations the final text of the directive was modified at the level of the council.",opinion
je ne sais pas,I don't know,nothing
Nein,No,nothing
sì,Yes,nothing
"Pradoon tarvitaan nopeammin uusien matkustusasiakirjojen versiot. Hankala tutkia asiakirjan aitoutta, kun siellä on vanhoja tietoja esim. Intian matkustusasiakirjojen versiot ovat todella vanhoja ja muutaman muun maan.","Prado requires new versions of new travel documents. It is difficult to study the authenticity of the document when there is old information, for example, the Version of Indian travel documents is really old and a few other countries.",document
sa poti avea un newsletter prin care sa primesti noutati,you can have a newsletter to receive news,opinion
PONER FOTOGRAFIAS,Put photographs,opinion
"Implicare mai mare in informare directa, precum aceasta ancheta si publicitate asupra obiectivelor","Greater involvement in direct information, such as this investigation and advertising on the goals",information
dialog mit den Leuten,Dialogue with the people,opinion
"minska antalet undermenyer per meny då det är för omfattande per punkt samtidigt rubriken/meny är för vagt/innehållet får närmast gissas,då gäller alltså försöka fördela innehållet på flera (under-)menyer/punkter(dvs antalet ovannämnda ökar -förstås- för klarhet/exakthet är det viktigaste,inte hur många /få punkter /menyer/områden som publiceras... uppskattar också språk som inte är alltför tekniskt/esoteriskt då innehållet på offentliga skrivelse /dokument etc bör vara tillgängliga för olika sorts personer(här ; intellektuellt sätt)...antalet språk innehåll finns skriven ät kanske tillräckligt- kanske borde man ta en titt på det om det är tillfredsställande(göra undersökning inom EU lär inte vara några problem rent tekniskt; att behöva lita på dator/mobiler gör översättning möjligt såklart men inte tillförlitliga(om det inte finns några tillgängliga då är man illa tvungen ha t ex Google ens översättare vilket vore olyckligt ..) detta inlägg bör inte uppfattatas som (negativ)Kritik utan uppskattning på arbete som redan finns/görs och vill gärna se att det fortsätter även i framtiden och att tillgång på offentliga sektorn - Eu/Sverige/offentlig sektorn & institutioner förblir en rättighet som inte/inget kan ifrågasätta eller begränsa samt innehåll att lita på(ett land som också offentliggör en hel del vars innehållet ingen litar på -förutom offentligtägda nyhetsförmedling som - i Sverige SVT -nämligen Kina... ovannämnda exempel är avsett att påminna om informationen (överhuvudtaget) måste kunna litas på och vara tillgänglig för alla(i Sverige/EU lär de flesta hitta/kunna ta del av informationen oavsett ens socioekonomiska situation).","Reduce the number of submenus per menu as it is for extensive per point at the same time the heading/menu is too vague/content may be guessed, then try to distribute the content to several (under-) menus/points (ie the number of the above increases-understanding for clarity /accuracy is the most important thing, not how many /few points /menus /areas are published ... also appreciate languages ​​that are not too technically /esoteric as the content of public letter /document etc should be available to different kinds of people (here; intellectually way) ... the number of languages ​​content is written eating maybe enough- maybe you should take a look at it if it is satisfactory (do survey within the EU will not be a problem purely technically; having to rely on computer/mobiles makes translation possible of course But not reliable (if there are no available then you are badly forced to have, for example, Google even translators which would be unfortunate ..) This post should not be perceived as (negative) criticism without appreciation that already exists/is done and would like that it continues in the future and that access to public sector - EU/Sweden/Public sector & institutions remains a right that cannot/nothing can question or restrict and content to rely on (a country that also publishes a great deal whose content no one trusts on -In addition to publicly -owned news dissemination which -in Sweden SVT -Fair China ... The above example is intended to remind the information (at all) must be able to be trusted and available to everyone (in Sweden/EU most people will find/be able to take part in the information regardless of one's socio -economic situation).",translation
Not yet.,Not yet.,nothing
Incremento de novos documentos oficiais de identificação,Increment of new official identification documents,document
Nein,No,nothing
To continue providing up to date information for all EU citizens,To continue providing up to date information for all EU citizens,information
Busco información sobre Octubre mes de la concienciación en Ciberseguridad 2023 y no existe,I seek information about October month of awareness in cybersecurity 2023 and there is no,information
Im Moment keine,None at the moment,nothing
Den borde finnas högre upp på Googlesökningar. Inte lätt att hitta information om EU. Om man inte kan exakta ord på vad det heter. Jag är helt novis på begreppen kring EU.,It should be higher up on Google searches. Not easy to find information about the EU. If you can't accurate words on what it's called. I am completely novice on the concepts around the EU.,search engine
"Nee, want ik heb nog niet gekeken. Dat ga ik na deze enquête is bekijken.","No, because I haven't looked yet. I will look at that after this survey.",website
Nao,Them,nothing
Nein,No,nothing
sigan mejorando,Keep improving,nothing
Folosindu-se cuvinte mai simple care înțeleagă orice om de rand,Using simpler words that understand every ordinary man,opinion
Está muy interesante,It is very interesting,opinion
I would like to make more transparent how member states votes in Council meatings.,I would like to make more transparent how member states votes in Council meatings.,opinion
Nej,Her,nothing
To pierwsza wizyta:-),This is the first visit :-),nothing
En bättre överblick på vart man kan hitta saker. maskin översätt inte är svårare att läsa då. ni skriver redan tydligt och förståligt nu.,A better overview of where to find things. Machine Translate is not more difficult to read then. You already write clearly and understandably now.,search engine
PRADO Suchfunktion nach dokumententyp länderübergreifend,Prado search function according to document type across bodies,document
Nein habe ich nicht,No I haven't,nothing
Sarebbe interessante avvicinare studenti di giovane età con contenuti più adatti alla loro età,It would be interesting to bring young students closer to content more suitable for their age,opinion
Neturiu,I have no,nothing
I suggest you Russian and Ukraine invasion when the end and I am not look kind of off doesn't 🛑 war,I suggest you Russian and Ukraine invasion when the end and I am not look kind of off doesn't 🛑 war,opinion
This is good website,This is good website,website
Hxp.binh88@gmail.com,Hxp.binh88@gmail.com,nothing
no,no,nothing
nie,NO,nothing
"Mit Verlaub: Audiatur et altera pars, was den eskalierten Rußland-Ukraine-Konlikt angeht.",With alleviation: Audiatatur et altera pars when it comes to the escalated Russia-Ukraine confection.,opinion
Sometimes it is difficult to search what it is you want. Better searching on key terms would be very useful :),Sometimes it is difficult to search what it is you want. Better searching on key terms would be very useful :),search engine
habe gerade wenig Zeit. Gern bei der nächsten Umfrage!,Have little time. Gladly at the next survey!,website
Remove the Cloudflare captcha.,Remove the Cloudflare captcha.,opinion
Bisher nicht.,Not yet.,nothing
Nein,No,nothing
Fulltext vyhľadávanie,FullText search,search engine
kurz adresse homepage,short address homepage,opinion
Moi studenci mają kłopoty z odnalezieniem odpowiednich treści. Czy da się jakoś zaznaczyć co jest szczególnie ważne? Dla nich wszystko jest ważne i słabo potrafią zapamiętać co można przeczytać i pominąć a co trzeba bezwzglednie przyswoić.,"My students have trouble finding the right content. Can it be somehow marked what is particularly important? For them, everything is important and they can remember poorly what you can read and skip and what you need to learn absolutely.",opinion
Gelieve altijd de vragen te beantwoorden De toegankelijkheid van de gevraagdegNkelijkheid van de gevraagde informatie v,Please always answer the questions the accessibility of the requested information of the requested information v,information
Helppokäyttöisemmät aloitussivut asukkaille. Oikean aiheen sivuilta voi sitten jatkaa syvempään ja/tai asiantuntijatietoon,Easy -to -use starting pages for residents. You can then extend to the deeper and/or expert knowledge of the right topic pages,opinion
Jest ok,It's ok,nothing
I like that it has the English language,I like that it has the English language,translation
Still browsing the site but it looks well organized with abundant information,Still browsing the site but it looks well organized with abundant information,opinion
Inserire il tasto per la ricerca inter a,Insert the Inter search button a,search engine
no thing,no thing,opinion
CHANGER L'ERGONOMIE ET LE VISUEL AFIN DE LE RENDRE BIEN PLUS FACIL ET ATTRACTIF,Change ergonomics and visuals in order to make it much easier and attractive,website
nan,Na,nothing
Public input,Public input,opinion
Die Propaganda der EU-Politiker als solche kennzeichnen,Characterize the propaganda of EU politicians as such,opinion
Не,Not,nothing
No,No,nothing
Website um Kommentarfunktion erweitern,Website to expand comment function,comment
"Ubaciti više videozapisa, multimedijalni sadržaj o očuvanju okoliša, kvaliteti zraka. Na stranicama o zagađenju okoliša i zraka dodati poveznice na platformu https://www.hackair.eu/#","Insert multiple videos, multimedia content on environmental conservation, air quality. On site on environmental and air pollution add links to https://www.hackair.eu/#",opinion
ne,it is,nothing
Non,Non,nothing
Stop help Ucraine. Stop War.,Stop help Ucraine. Stop War.,opinion
Na razie nie,Not yet,nothing
None,None,nothing
Un module de recherche par mots clés pour mieux trouver les sujets et la documentation associée.,A keyword research module to better find the subjects and associated documentation.,search engine
No,No,nothing
Arra nincs de még a kerítésre is csak pár százalékot adott az Unio pedig mi védjük a legtöbb ország sej haját.,There is no but even a few percent on the fence and unio we protect most countries' hair.,document
je cherchais à savoir l'état des réserves de gaz en france à l'entrée de l'hiver,I was looking for the condition of gas reserves in France at the entrance to winter,opinion
Nein,No,nothing
nej,her,nothing
"w jednym artykule czesto podawane sa wielokrotnie te same dane i opisy sytuacji. zabieraja one przestrzen na portalu i wydluzaja zbednie czas poswiecony na czytanie. mowiac krotko: spotyka sie tu duzo ""mialkiej"" tresci.","In one article, the same data and descriptions of the situation are often given. They take the space on the portal and extrudate the time spent reading. Saying a short time: a lot of ""had"" content here.",opinion
Vielen Dank für die Information,Thank you for the information,information
Nie,NO,nothing
"Pour l'instant je ne vois pas mais quand j'ai demandé le contrat sur Pfizer et que le document ets masqué à 50% alors que je suis votre patron ( je paye les deputés et responsables avec mes impots français ) il faut de la transparence et que chaque pays puisse avoir plus de liberté dans ses choix et decisions. Je continuerai de regarder le site car je suis curieux de savoir les décisions qui se prennent sans me demander mon avis . La chose qui pourrait manquer c'est une notation de chaque decison par les internautes Européens et pas anonyme . Il n'y a pas de référendum européen et trop de doute sur l'intégrité de tous les gens de Bruxelle car certaine s décisions , prises par des personens qui ne sont jamais caution a vie , sont sujettes à caution ( glyphosate ) .","For the moment I do not see but when I asked for the contract on Pfizer and that the ETS document masked at 50% while I am your boss (I pay the deputies and responsible with my French taxes) it takes transparency And that each country can have more freedom in its choices and decisions. I will continue to look at the site because I am curious to know the decisions that take place without wondering my opinion. The thing that could be missed is a notation of each decison by European Internet users and not anonymous. There is no European referendum and too much doubt about the integrity of all the people of Brussels because some decisions, taken by Personns who are never a lifetime deposit, are subject to question (glyphosate).",document
Fazit der Statistiken müsste propagiert werden,Conclusion of the statistics would have to be propagated,opinion
"Non, le site est extrêmement clair.","No, the site is extremely clear.",opinion
Nu,Not,nothing
"Les jeunes ne savent pas ce qu’est l’UE et en encore moins le sénat le rôle des députés qui les élis, quand on vaut une loi c’est quoi le chemin, bref rien il ne savent rien. Seul les étudiants de grandes écoles le savent mais pas les autres. Comment se sentir français quand on ne sait rien. Vous êtes en haut et vous ne regardez pas en bas. Si un jour on a un ou une présidente qui va faire un référendum sur on suite l’UE oui ou non, ouvrez les yeux. 2 fois le RN a été au second tour, et la deuxième fois l’écart s’était réduit Vous êtes tout en haut et vous ne regardez pas en bas.","Young people do not know what the EU is and even less the Senate the role of deputies who Elis, when you are worth a law what is the path, in short nothing they know nothing. Only students from grandes écoles know it but not the others. How to feel French when you don't know anything. You are at the top and you do not look down. If one day we have a president who will make a referendum on we follow the EU yes or no, open your eyes. 2 times the RN was in the second round, and the second time the gap had been reduced you are at the top and you do not look down.",opinion
ZAMIESZCZANIE W PRADO NOWYCH WZORÓW DOKUMENTÓW ORAZ ROZSZERZANIE INFORMACJI O MOŻLIWOŚCIACH WERYFIKACJI ICH AUTENTYCZNOŚCI,Placing new document designs in Prado and expanding information on the possibilities of verifying their authenticity,document
"Sometimes you don't have the latest passport from a given country, but usually it's just a matter of time.","Sometimes you don't have the latest passport from a given country, but usually it's just a matter of time.",passport
NO,NO,nothing
Rady jak odzyskać REPARACJE od KACAPI i SZKOPI.,Advice on how to recover reparations from Kacapi and Szkopi.,opinion
