Original Text,Translated in English,Topic
nan,Na,nothing
"Mein Misstrauen zu Maschinen und zu Menschen in einem manipulativen Politikgeschäft ist ähnlich, also kaum Einfluss, wer übersetzt.","My distrust of machines and people in a manipulative political business is similar, so there is hardly any influence on who translates.",machine translation
"Машинният превод е буквален и не отчита, че понякога в даден език за някои думи има",Machine translation is literal and does not take into account that sometimes in a language for some words there is,machine translation
Lo favorecería,I would favor it,nothing
För maskinöversättning fungerar bara delvis,For machine translation works only in part,machine translation
"Snížená důvěra v překlad. Angličtina užívá mnoho stejných slov k různým významům, které nejsou toliko význam nosné. Němčina je daleko deskriptivnější, v některých oblastech do češtiny obtížně přeložitelné.","Reduced confidence in translation. English uses many of the same words for different meanings that are not merely noisy. German is far more descriptive, in some areas difficult to translate into Czech.",language
"if it was translate by a machine, I would feel less trust towards the traduction.","if it was translate by a machine, I would feel less trust towards the traduction.",reliability
Aucune,None,nothing
"Question of trusting the translation, accuracy of language and meanings plus context.","Question of trusting the translation, accuracy of language and meanings plus context.",language
Stop help Ucraine.,Stop help Ucraine.,understanding
Negatywnie,Negatively,human translation
Brak pewności co do poprawności tłumaczeń. Błędy językowe popełniane przez tłumaczenie maszynowe,No certainty as to the correctness of translations. Language errors made by machine translation,human translation
Un pochino,A little,machine translation
une traduction faussee,A false translation,human translation
Sami dobrze wiecie !,You know well!,ease of use
je ne me fierais pas à la traduction d'un robot,I would not trust the translation of a robot,human translation
Ich bin Gegner von Maschinenbezogenen Daten,I am the opponent of machine -related data,machine translation
ça n'est pas un sujet pour moi mais plutôt la richesse des infos statistiques publiées,This is not a subject for me but rather the richness of the published statistical info,language
Absence de justesse,Absence of accuracy,reliability
I would be sceptic,I would be sceptic,understanding
skulle inte använda det då,would not use it then,nothing
velocizzerebbe la consultazione,would speed up the consultation,ease of use
Dass die maschinelle Übersetzung sofort zu erkennen ist und dadurch ein Desinteresse entstehen könnte,That the machine translation can be recognized immediately and that a lack of interest could arise,machine translation
The translation will not be accurate especially in greek language due to its difficulties,The translation will not be accurate especially in greek language due to its difficulties,language
Il pourrait y avoir des bugs et il y aurait moins de travail pour les humains.,There could be bugs and there would be less work for humans.,reliability
"The context would be lost in some cases, which will create a fall narrative - ending in a false information","The context would be lost in some cases, which will create a fall narrative - ending in a false information",information
Bun,Good,nothing
Często automatyczne tłumaczenie wiąże się z niedopowiedzeniami lub niezamierzonymi błędami wynikającymi ze specyfiki danego języka,"Often, automatic translation is associated with understatements or unintentional errors resulting from the specificity of a given language",language
INFORMACJE MNIEJ ZROZUMIAŁE BRAK KONTEKSTU,Information less understandable lack of context,reliability
"Les mots ne seraient plus juste et donneraient une interprétation différente . La justesse du mot dans un contexte précis , le placement de la virgule ... donnent une précision sur ce qu'on exprime","The words would not be fair and would give a different interpretation. The accuracy of the word in a specific context, the placement of the comma ... give precision on what we express",language
the website would be easier to use for people who don't know English well,the website would be easier to use for people who don't know English well,ease of use
"Spécifiquement dans mon métier, avec des contacts avec des députés ne maitrisant pas l'anglais, ca me faciliterait la tâche.","Specifically in my job, with contacts with deputies that do not master English, it would facilitate my task.",language
Cela ne me dérangerait pas sachant que la traduction automatique n'est pas infaillible.,It wouldn't bother me knowing that automatic translation is not infallible.,human translation
Maschinelle Übersetzungen sind nicht immer korrekt und daher nicht vertrauenswürdig,Machine translations are not always correct and therefore not trustworthy,machine translation
Ak za tým nestojí človek možno ny som ani nepozeral a nekomunikoval aktívne,If a person is not behind it maybe NY I haven't even watched and did not communicate actively,language
aucune,none,nothing
Missing the human touch.,Missing the human touch.,machine translation
I would be sad that people list their jobs to machine,I would be sad that people list their jobs to machine,ease of use
Keine wichtige.,Not an important one.,information
"Die maschinellen Übersetzungen könnten Kontexte nicht auf Anhieb verstehen, wodurch es durch Übersetzungsfehler eventuell zu Fehlinformationen kommen könnte. Die bessere Alternative wäre die Nutzung von Deepl für einige der verfügbaren Sprachen. Nach dieser teilmaschinellen Übersetzung könnte eine menschliche Übersetzung den Text kontrollieren und bedarfsabhängig verbessern. Dies wäre effizienter und wahrscheinlich kostengünstiger. Ich persönlich mache dies ebenfalls so. KI-gestützte Übersetzer haben sehr große Fortschritte gemacht. Die Menschen sind dazu da, die feinen Nuancen herauszuarbeiten :-) .","The machine translations could not understand contexts straight away, which could possibly lead to misinformation due to translation errors. The better alternative would be the use of Deep for some of the available languages. According to this sub -machine translation, a human translation could control the text and improve it depending on the needs. This would be more efficient and probably cheaper. I personally do it that way too. AI-supported translator have made great progress. People are there to work out the fine nuances :-).",human translation
inappropriate words or suitable words to describe and harder to understand,inappropriate words or suitable words to describe and harder to understand,machine translation
"Zdecydowanie negatywnie. Tłumaczenie maszynowe jest ułomne, często zawiera błędy, razi w oczy. Prawdopodobnie wolałbym wtedy skorzystać z wersji angielskiej.","Definitely negative. Machine translation is defective, often contains errors, offended. I would probably prefer to use the English version.",machine translation
Facilitaría la comprensión,Would facilitate understanding,understanding
En una mayor rapidezy comodidad,In a faster comfort and comfort,understanding
It would not impact the way I use the Council website,It would not impact the way I use the Council website,ease of use
"erori de limbaj, pierderea de sens","Language errors, loss of meaning",language
yes,yes,nothing
Es kommt auf die Art und Weise der maschinellen Übersetzung an: wie verständlich diese ist; da gibt es große qualitative Unterschiede!,It depends in the way of the mechanical translation: how understandable it is; There are big qualitative differences!,human translation
strojové preklady sú často nepresné a niekedy až nepoužitelné. Preto preferujem mať stránku preloženú človekom alebo ju mať v anglickom jazyku.,"Machine translations are often inaccurate and sometimes unusable. Therefore, I prefer to have a page translated by or have it in English.",machine translation
"L'uso della traduzione automatica può incrementare il rischio di travisazione ed incongruenze relative all'uso intrinseco di un algoritmo che, ancor di più se gestito da intelligenza artificiale, dirotterebbe il significato di una frase verso un altro significato alternandone così contenuto e conseguenze","The use of automatic translation can increase the risk of misrepresentation and inconsistencies relating to the intrinsic use of an algorithm which, even more if managed by artificial intelligence, would divert the meaning of a sentence towards another meaning alternating thus content and consequences",content
I wouldn't trust a machine to translate it properly especially nuances in language and the importance of context,I wouldn't trust a machine to translate it properly especially nuances in language and the importance of context,machine translation
un mauvaise traduction est lourde de conséquence donc je ne suis pas pour cet usage,A bad translation is fraught with consequences so I am not for this use,human translation
"the machine tends not to have very proper translations from one language to another, so it would require more time for me to understand the text correctly.","the machine tends not to have very proper translations from one language to another, so it would require more time for me to understand the text correctly.",language
Ich müsste mehr überprüfen,I would have to check more,nothing
unsure,unsure,understanding
Find information about the human rights report and help me for learning information about getting information about the business and getting some stuff done,Find information about the human rights report and help me for learning information about getting information about the business and getting some stuff done,information
negativne,negative,quality
"A tradução automática provavelmente traria ainda mais dificuldades na consulta, dada a complexidade dos meus temas de pesquisa.","Automatic translation would probably bring even more difficulties in consultation, given the complexity of my research topics.",human translation
AI can translate literally but does not always grasp the different nuances of a word.,AI can translate literally but does not always grasp the different nuances of a word.,machine translation
Take the differents concept of the legal institutes . The differences are a human art!,Take the differents concept of the legal institutes . The differences are a human art!,machine translation
"la traduction automatique n'est pas fiable. Donc, une traduction automatique rend le site inutile voire dangereusement contradictoire","Automatic translation is not reliable. Therefore, an automatic translation makes the site useless or even dangerously contradictory",human translation
Wird unglaubwürdiger,Will be more unbelievable,understanding
Minore qualità,Minor quality,quality
Because no one known English as well so every person has easy to understand council decisions and give feedback,Because no one known English as well so every person has easy to understand council decisions and give feedback,language
"Sądzę, że podchodziłabym z trochę większym dystansem do tego, co czytam.",I think I would come with a little more distance to what I read.,machine translation
"i would have to check with adopted documents if what press releases say aligns with official wording, which might by the way have a huge impact on what gets transmitted in national press in case MT gets it wrong. Carefully designed communication products would become sloppy in translation and I would refuse to share them.","i would have to check with adopted documents if what press releases say aligns with official wording, which might by the way have a huge impact on what gets transmitted in national press in case MT gets it wrong. Carefully designed communication products would become sloppy in translation and I would refuse to share them.",human translation
"Nie wpłynełoby, natomiast jeśli byłoby niskiej jakości, musiałbym zapoznać się z treścią ENG","It would not affect, but if it were of low quality, I would have to read the content of Eng",quality
Hi hello bună ziua salut,Hi hello hello hello,understanding
kažkiek nedaug,Some little,machine translation
Une plus grande vigilance quant à la portée des textes et à leur bonne compréhension,Greater vigilance as to the scope of texts and their good understanding,understanding
Kleineres Vertrauen in den dargestellten Inhalt,Minor trust in the content shown,content
"Θετικά μάλλον, αφου θα υπήρχαν όλα στην μητρική μου γλώσσα. Αν μάλιστα υπάρχει και η επιλογή να διαβάσω τις πληροφορίες στο αγγλικό κείμενο, θα διασφαλιζόταν νομίζω πως δεν θα υπάρχουν παρανοήσεις. Θέλω να πω, πως τα κείμενα στην μητρική μου γλώσσα είναι πιο εύκολα και δεν χάνω χρόνο. ΑΝ σε κάτι προκύπτει ασάφεια, να υπάρχει η επιλογή να διαβαστει στην αγγλική γλώσσα και να αποσαφηνιστεί. Ευχαριστώ.","Positively, since there would be everything in my mother tongue. If there is also the option to read the information in the English text, I think there would be no misconceptions. I mean, the texts in my mother tongue are easier and I don't waste time. If something comes out of ambiguity, there is the option of reading English and clarifying. Thanks.",ease of use
accesso ad ogni lingua,access to each language,language
Cred că s-ar putea pierde anumite sensuri ale cuvintelor,I think you might lose certain meanings of words,language
Nu stiu,I do not know,nothing
Goed zo,Well done,ease of use
Nevím,I do not know,nothing
Ich würde sie nicht ernst nehmen.,I wouldn't take her seriously.,information
ich lege Wert auf Originale/autorisierte Fassungen unredigierte Übersetzungen führen in die falsche Richtung,I value original/authorized versions of impregnated translations in the wrong direction,human translation
menechyb,Meechyb,understanding
ΘΑ ΥΠΗΡΧΕ ΚΑΚΗ ΑΠΟΤΥΠΩΣΗ ΕΝΝΟΙΩΝ ΚΑΙ ΣΥΝΔΕΣΗΣ Ή ΕΡΜΗΝΕΙΑΣ ΔΕΔΟΜΕΝΩΝ ΤΗΣ ΠΛΗΡΟΦΟΡΙΑΣ,There would be a bad imprint of concepts and connection or interpretation of information of the information,information
une compréhension plus intelligible du contenu,A more intelligible understanding of content,understanding
Gyorsítaná,Would accelerate,nothing
Ułatwiłoby korzystanie z portalu,Would facilitate the use of the portal,reliability
"Förmodligen mer svårt att förstå, detta är min erfarenhet av tidigare maskinöversatta webbplatser","Probably more difficult to understand, this is my experience with previously machine -translated websites",machine translation
Om det blir svårare att förstå för att text inte översätts lika bra så skulle det försvåra mitt arbete.,"If it becomes more difficult to understand that text is not translated as well, it would make my work difficult.",language
Risque de moins bien comprendre les éléments de sécurité présent sur le PRADO,Risk less understanding the security elements present on Prado,reliability
"valószínüleg az eredeti nyelven készült tartalmakat nézném inkább, mivel a fordításban még lehetnek pontatlanságok vagy furcsa mondatszerkezetek",I would probably look at the content made in the original language as there may still be inaccuracies in the translation or strange sentence structures,content
"Jakość obsługi, maszyna może odrzucać niektóre hasła wyszukiwań, różnorakie tłumaczenie.","Service quality, the machine can reject some search passes, various translation.",quality
A VOLTE HO NOTATO CHE LA TRADUZIONE DI TESTI MOLTO ARTICOLATI O COMPLESSI PUO' PORTARE AD UNA SCARSA COMPRENSIONE,Sometimes I noticed that the translation of very articulated or complex texts can lead to poor understanding,understanding
Quick reading,Quick reading,ease of use
renderebbe a tutti facile l'accesso,It would make everyone access easy to everyone,information
mehr aktives Mitdenken nötig,more active with thinking,machine translation
Rien ne serait fiable. Mauvaise image auprès des citoyens et du monde professionnel et académique.,Nothing would be reliable. Bad image with citizens and the professional and academic world.,reliability
"Dada mi profesión, en ocasiones me conviene leer textos en otros idiomas pero las palabras clave me quedan más claras en español. De tal manera que, al encontrar el texto en español y poder verlo en inglés automáticamente, me ayudaría mucho.","Given my profession, sometimes I should read texts in other languages ​​but the keywords are clearer in Spanish. So, finding the text in Spanish and being able to see it in English automatically, it would help me a lot.",language
u strojového překladu doposud dochází k chybovosti,Error translation is still an error translation,human translation
"Pas de problème pour les information générales. Mais comme les textes ne font foi que dans les langues officielles de l'UE, alors cela poserait des problèmes d'interprétation.","No problem for general information. But as the texts only prove in the official languages ​​of the EU, then that would pose problems of interpretation.",information
informacje byłyby nieprecyzyjne,Information would be imprecise,information
Forse renderebbe un po' più lenta la lettura,Maybe it would make reading a little slower,information
Eventuell schwieriger zu verstehen,Possibly more difficult to understand,content
Wahrscheinlich keinen großen Einfluss.,Probably not a big influence.,information
"ίσως η μηχανική μετάφραση να μην μπορούσε να μεταφράσει πλήρως ένα κείμενο από τη μία γλώσσα στην άλλη, μπορεί να υπάρχουν ιδιωματισμοί από τη μία γλώσσα που χρειάζεται κριτική σκέψη ενός έμπειρου μεταφραστή για να αποδώσει πλήρως την ορθή μεταφραστική έννοια. Βέβαια η τεχνολογία συνεχώς βελτιώνεται και τα ΑΙ διαρκώς εξελίσσονται, μπορεί να είναι ήδη εφικτό και να μην είμαι κατάλληλα ενημερωμένος, σίγουρα πάντως το επίπεδο μηχανικής μετάφρασης είναι υψηλό, αλλά πάντα η ανθρώπινη εποπτεία θα είναι χρήσιμη.","Perhaps the mechanical translation could not fully translate a text from one language to another, there may be idioms from one language that needs critical thinking of an experienced translator to fully convey the proper translational meaning. Of course technology is constantly improving and the constant evolves, it can already be possible and not be properly up -to -date, but certainly the level of mechanical translation is high, but human supervision will always be useful.",language
Mehr Fokus auf Originalsprache,More focus on original language,language
Facilitaría la comunicación,Would facilitate communication,information
Положителен,Positive,language
aucune,none,nothing
Spanish,Spanish,quality
AI,It,nothing
Creo que causaría malentendidos.,I think it would cause misunderstandings.,understanding
veľmi,very,nothing
que cest artificielle,that it is artificial,content
Aucune je parle le français et l'anglais.,No one I speak French and English.,language
It may lost some touch by a too literal translation.,It may lost some touch by a too literal translation.,human translation
"Me resultaría más difícil de leer y entender, porque probablemente no se traducía con la claridad y exactitud de los traductores humanos","It would be more difficult to read and understand, because it probably did not translate with the clarity and accuracy of human translators",machine translation
Mir wäre kein Einfluss bekannt.,I would not be aware of any influence.,information
"cela serait plus pratique pour les personnes qui ne parlent pas anglais .... et je pense que le Royaume Uni ne fait plus partie de notre communauté européenne, non !!","It would be more practical for people who do not speak English .... and I think that the United Kingdom is no longer part of our European Community, no !!",language
Nie,NO,nothing
postepeno,gradually,understanding
"Ce serait ""dommage"" et embêtant si ça devenait illisible","It would be ""a shame"" and annoying if it became illegible",language
en voisi luottaa sisältöön,I couldn't trust the content,content
I could know every countries issues without a translator the translators can help monitor individual peace negotiating in more,I could know every countries issues without a translator the translators can help monitor individual peace negotiating in more,machine translation
"FACILITARÍA LA NAVEGACION. PERO SOBRETODO LO NECESITARÍA EN LA DOCUMENTACION OFICIAL,NO EN LA WEB.","Would facilitate navigation. But above all I would need it in the official documentation, not on the web.",language
"Nejistota, zda strojový překlad je správný a v souladu s originálním textem.",Uncertainty as to whether the machine translation is correct and in accordance with the original text.,machine translation
lo renderebbe immediatamente fruibile,it would make it immediately usable,machine translation
Useful in 27 language for all UE,Useful in 27 language for all UE,language
traduction approximative qui rend le texte peu compréhensible,approximate translation that makes the text inexpensive,human translation
"I use it as a terminological reference. With machine translation, I cannot be sure of the quality and reliability","I use it as a terminological reference. With machine translation, I cannot be sure of the quality and reliability",quality
ograniczenie zaufania do tłumaczonych treści,Limiting trust in translated content,content
Mejor,Better,understanding
Abban az esetben nem használnám a Tanács honlapját.,"In that case, I would not use the council website.",ease of use
"le traduzioni automatizzate suonano come ""fake""","Automated translations sound like ""fake""",human translation
"Tłumaczenie maszynowe jest nie do końca dopracowaną metodą na tyle, aby mogło zastąpić fizycznego tłumacza. Przy obecnych błędach (mało trafny dobór znaczenia słów) w tłumaczeniu maszynowym z pewnością wpłynęło by na bardziej negatywny odbiór strony.",Machine translation is not fully refined the method enough to replace the physical translator. With current errors (not very accurate selection of the meaning of words) in machine translation would certainly affect the more negative reception of the page.,machine translation
"За мен лично няма проблеми поне на четири езика ,но наистина би било едно удобство🤗","For me personally, there are no problems in at least four languages, but it would really be a convenience",language
"Me parece que la traducción está muy bien hecha y que se lee mucho mejor. Da gusto leer. Lo acababa de comentar con alguna gente, que me sorprendía lo bien que está traducido y se lee mucho mejor. Estaba diciendo, cuánto había avanzado los PLN, pero claro, lo traducís vosotros. Un gran acierto. Hasta que no se mejore las herramientas automáticas, yo no los cambiaría. Se lee muy bien. Además que se entiende también muy bien. Tenéis muy buenos traductores.","It seems to me that the translation is very well done and that it reads much better. It's nice to read. I had just commented with some people, that I was surprised how well translated and read much better. I was saying, how much the PLN had advanced, but of course, you translate it. A great success. Until automatic tools are improved, I would not change them. It reads very well. In addition, it is also understood very well. You have very good translators.",understanding
Não o consultaria.,Would not consult him.,nothing
"Maszyna zawsze gorzej tłumaczy od człowieka, tłumaczenie byłoby mniej dokładne co by skutkowało brakiem moich wizyt","The machine always explains worse than man, the translation would be less accurate, which would result in the lack of my visits",reliability
a qualidade da tradução pode ser alterada,The translation quality can be changed,quality
Ampliação da divulgação de dados de forma mais ampla,Expansion of data dissemination in a broader way,information
"Jag litar mindre på information från maskinöversatta sidor, då maskiner sällan uppfattar nyanser i språket och har koll på hur olika typer av uttryck används.","I trust less information from machine -translated pages, as machines rarely perceive shades in the language and have control over how different types of expressions are used.",machine translation
La traduzione affidata all'IA non sarebbe in grado di comprendere e integrare implicazioni culturali e di contesto molto più ampie della mera traduzione di un testo.,The translation entrusted to the AI ​​would not be able to understand and integrate cultural and context implications much wider than the mere translation of a text.,human translation
"podchodziłbym z ostrożnością do treści, szczególnie tych, które dotyczą złożonych zagadnień","I would be careful with the content, especially those that concern complex issues",content
En voisi enää olla varma tietojen oikeellisuudesta.,I could no longer be sure of the correctness of the information.,information
"ES kommt darauf an, wie gut die Übersetzungen sind. Es ist aber auch schade, dass durch KI dann die Übersetzerstellen wegfallen.",It depends on how good the translations are. But it is also a shame that Ki then eliminates the translation points.,human translation
"I have 30+ years in translating, and machine translation is not accurate and falls short in translating important parts, esp. the nuances.","I have 30+ years in translating, and machine translation is not accurate and falls short in translating important parts, esp. the nuances.",machine translation
"Vertaling luistert heel nauw, de machinevertaling zal de eerste periode moeten worden gecheckt door formele beeidigde EU-vertalers , dit om te voorkomen dat er ander juridische woorden worden gebruikt die afwijken van de terminologie die op de site EU-lex worden gebruikt.","Translation listens very closely, the machine translation will have to be checked the first period by formal argumented EU translators, to prevent other legal words from being used that deviate from the terminology used on the EU-SLEX site.",machine translation
nan,Na,nothing
"I could report on the channels that I manage documents as a volunteer in Italian and not in English, but it is not important","I could report on the channels that I manage documents as a volunteer in Italian and not in English, but it is not important",language
"Le traduzioni automatizzate sono poco precise, spesso erronee e ciò potrebbe avere conseguenze","The automated translations are not very precise, often erroneous and this could have consequences",human translation
Ar denatura modul de intelegere al documentelor,Would distort the way of understanding the documents,ease of use
J'irais lire la version originale pour comparer si je comprends la langue,I would read the original version to compare if I understand the language,language
From de biginnig,From the biginnig,understanding
Unrevised machine translation might mislead nuanced discussions and concepts.,Unrevised machine translation might mislead nuanced discussions and concepts.,machine translation
-,-,nothing
🙉,🙉,nothing
Ymmärtämisen parantaminen tiedon löydön osalta,Improving understanding in terms of knowledge discovery,understanding
lo renderebbe meno comprensibile,it would make it less understandable,reliability
utrudniłoby zrozumienie treści.,It would make it difficult to understand content.,content
faible confiance sur la fiabilité de la traduction au niveau de la transcription du ressenti de l'auteur,Low confidence on the reliability of translation in terms of transcription of the author's feelings,human translation
Machine translation is often unreliable,Machine translation is often unreliable,machine translation
ich würde der übersetzung nicht trauen,I wouldn't trust the translation,human translation
I would not have all trust on machine translation.,I would not have all trust on machine translation.,machine translation
Het hangt van de ervaringen af. Op het eerste gezicht zou ik menen dat het geen verschil maakt.,It depends on the experiences. At first glance I would think it makes no difference.,machine translation
"The Slavic Languages are difficult for us japanese, of course, English is also difficult too. So machine translaion is useful. I use machine tranlation system when I would like to check spelling and meaning of sentence. We asian people probably and generally are not good at speaking and wrting English. I guess so.","The Slavic Languages are difficult for us japanese, of course, English is also difficult too. So machine translaion is useful. I use machine tranlation system when I would like to check spelling and meaning of sentence. We asian people probably and generally are not good at speaking and wrting English. I guess so.",machine translation
"Dvostruka kontrola, vrag je u detaljima, a tu strojni prijevod zna jako griješiti.","Double control, the devil is in detail, and that machine translation knows how to make a mistake.",machine translation
traducerea automata nu reflecta cu acuratete textul original,Automatic translation does not accurately reflect the original text,human translation
Non ci sarebbe verifica del senso della traduzione,There would be no verification of the sense of translation,human translation
"Negativly, as a lot of information needs not only translation but interpretation aswell. Machine can only translate","Negativly, as a lot of information needs not only translation but interpretation aswell. Machine can only translate",information
I need to look at the document data and I like to have the confidence that a human has examined the documents before providing information on the PRADO website.,I need to look at the document data and I like to have the confidence that a human has examined the documents before providing information on the PRADO website.,information
Mauvaise compréhension,Misunderstanding,nothing
Je n'apprécierais pas la lecture du site et je me tournerais vers d'autres sources fiables.,I would not appreciate reading the site and I would turn to other reliable sources.,reliability
"sarebbe più veloce ed immediata la lettura, se ci fossero errori di traduzione si potrebbe inserire la possibilità di correggere nella lingua del proprio Paese per migliorare la qualità della traduzione automatica.","Reading would be faster and immediate, if there were translation errors, the possibility of correcting in the language of your country to improve the quality of the automatic translation could be inserted.",quality
"przyspieszyłoby wykorzystanie dokumentów w ramach organizacji, które nie dysponują w pełni wykfalifikowaną kadrą mówiącą po angielsku",would accelerate the use of documents under organizations that do not have fully digitalized English staff,language
Takýto preklad uberá každému jazyku jeho gramatickú správnosť a často spôsobuje aj odchýlky sémantiky.,Such a translation takes every language of its grammatical accuracy and often causes variations of semantics.,language
"My impact is stable,but we all communicate easy other European Union Countries member.","My impact is stable,but we all communicate easy other European Union Countries member.",ease of use
Fruibilità dei contenuti agevolata e più rapida,Usability of facilitated and faster content,content
"I am a translator in the Council, so if all web texts were machine translated, I would not visit the website nearly as often as I currently do because I mainly visit it when I am translating web texts. Also, I wouldn't be able to use the website as a reliable source for other translations.","I am a translator in the Council, so if all web texts were machine translated, I would not visit the website nearly as often as I currently do because I mainly visit it when I am translating web texts. Also, I wouldn't be able to use the website as a reliable source for other translations.",machine translation
moins de confiance,less confidence,reliability
N/A car je prends le texte original en anglais,N/a because I take the original text in English,language
"I believe that machiene translations, especially into less uses languages of the EU may result in poor quality translations. These should always at least be read over by a human with knowledge of both languages before being published.","I believe that machiene translations, especially into less uses languages of the EU may result in poor quality translations. These should always at least be read over by a human with knowledge of both languages before being published.",quality
"Mój język ojczysty należy do najtrudniejszych w UE, nie wierzę że maszyna będzie w stanie poprawnie tłumaczyć z i na język polski, skoro osoby, dla których jest to język ojczysty miewają z tym problem.","My native language is one of the most difficult in the EU, I do not believe that the machine will be able to correctly translate from and into Polish, since people for whom this is a native language has a problem with it.",language
trust 0,trust 0,nothing
Nu m-as mai putea baza pe folosirea traducerii/utilizarii unor temeni oficiali/consacrati in limba materna astfel cum au fost tradusi/explicati din engleza sau franceza,I could no longer rely on using the translation/use of officials/consecrated in the mother tongue as translated/explained from English or French.,human translation
perhaps the machine translation couldn't get idiomatic Humans do translations fine,perhaps the machine translation couldn't get idiomatic Humans do translations fine,human translation
možno by tam boli nepresné informácie,maybe there would be inaccurate information,information
Błędy tłumaczenia mogłyby wpłynąć na złe rozumienie tekstu.,Translation errors could affect the bad understanding of the text.,understanding
As long as I can fixed a language when using it,As long as I can fixed a language when using it,language
Nagy mértékben.Lehet hogy a magyartalan fordítás félre értelmezhető lenne.,To a large extent.It may have been misunderstood.,machine translation
keine,no,nothing
Greșeli gramaticale,Grammatical mistakes,machine translation
"Cei care nu cunosc bine o limbă străină, sau chiar deloc, se pot informa și vizualiza mai ușor .","Those who do not know a foreign language well, or even at all, can be informed and visualize.",language
Google Translate is enough I think,Google Translate is enough I think,machine translation
Non accetto traduzioni automatizzate,I do not accept automated translations,human translation
Seria importante para las personas que no hablan mas de un idioma,It would be important for people who do not speak more than a language,language
it won't be the same. Human translation it will always be more accurate.,it won't be the same. Human translation it will always be more accurate.,human translation
No se percibiría natural y el texto podría perder interés.,It would not be perceived natural and the text could lose interest.,language
"traduzioni inesatte, storpiature, si sente molto che la traduzione non è stata fatta da qualcuno di competente","inaccurate translations, cripples, you feel much that the translation was not made by someone competent",human translation
Impacto negativo porque traduções automáticas tem baixa qualidade.,Negative impact because automatic translations has low quality.,quality
"Chyby a inkontinencia prekladu nepôsobí profesionálne, znižuje dôveryhodnosť a naznačuje nezáujem o tieto mutácie.","Errors and incontinence of translation does not look professional, reduces credibility and suggests lack of interest in these mutations.",human translation
"Suomen kieli kääntyy vaikeasti koneiden avulla. Tuloksena voisi olla käännösvirheitä tai kummallisia lauseista. Jos aikaan saataisiin tarkka käännös, sillä ei olisi vaikutusta.","The Finnish language is difficult to convert with machines. The result could be translation errors or strange sentences. If there was an accurate translation, it would not have an effect.",human translation
"Ljudsko prevođenje je točnije, u duhu jezika i smisleno.","Human translation is more accurate, in the spirit of language and meaningful.",language
Possibilité d'utiliser davantage de pages et plus rapidement,Possibility of using more pages and faster,understanding
Nothing,Nothing,machine translation
"Being a polyglot and having used machine translation over the years, it is very spotty. Even deepl, which is leagues ahead of google translate, can stumble often if the text is complex or if a few words are being used with more obscure meanings. I can see a world where machine translation with oversight can reduce work and costs, but never only machine translation.","Being a polyglot and having used machine translation over the years, it is very spotty. Even deepl, which is leagues ahead of google translate, can stumble often if the text is complex or if a few words are being used with more obscure meanings. I can see a world where machine translation with oversight can reduce work and costs, but never only machine translation.",machine translation
Batei,One,nothing
Est ce que les écrits seraient traduit correctement et comprehensibles,Would the writings be translated correctly and understandable,reliability
Certains termes techniques ne peuvent pas être traduits par une machine ; certaines citations de ministres non plus au risque de ne rien vouloir dire dans la langue cible,Certain technical terms cannot be translated by a machine; Certain quotes from ministers either at the risk of wanting to say anything in the target language,machine translation
No podría confiar en los contenidos traducidos automáticamente en la misma medida en la que confío en los procedentes de un traductor humano especializado,I could not trust the contents translated automatically to the same extent that I trust those from a specialized human translator,content
sarebbe meno attendibile,it would be less reliable,reliability
Yes,Yes,nothing
"Para bien,prefiero la información sin sesgos ideologicos,las maquinas no tienen ,de momento que yo sepa.","For good, I prefer information without ideological biases, the machines do not have, for the moment I know.",information
Facilita leer la información,It facilitates reading information,information
En tiedä vielä.,I do not know yet.,nothing
"Más rapidez, muchas veces hay noticias únicamente en inglés porque todavía no se han traducido a otros idiomas.","Faster, there are many times news only in English because they have not yet been translated into other languages.",language
"Afectaría positivamente, sobre todo para las personas con pocos conocimientos informáticos que no sepan como cambiar el idioma de forma manual.","It would positively affect, especially for people with few computer knowledge that do not know how to change the language manually.",language
La traduction d'expression type figurant sur un passeport ou une carte d'identité peut permettre une meilleure compréhension du document.,Typical expression translation on a passport or an identity card can allow a better understanding of the document.,understanding
It depends how the machine translation will be able to address sensitive topics.,It depends how the machine translation will be able to address sensitive topics.,machine translation
Non la ritengo affidabile e quindi dovrei leggere più versioni per essere sicuro di aver compreso,I don't consider it reliable and therefore I should read more versions to be sure I have understood,reliability
See my previous comment. In my paper I discuss the limitations of having to search exclusively in French.,See my previous comment. In my paper I discuss the limitations of having to search exclusively in French.,language
"Se a tradução automática for correta não haverá qualquer problema. Os/as tradutores/tradutores é que poderão ficar numa situação mais delicada, dado que a ""máquina"" os substitui...","If automatic translation is correct there will be no problem. The translators/translators can be in a more delicate situation, since the ""machine"" replaces them ...",machine translation
"H μηχανική μετάφραση εγκυμονεί τον κίνδυνο λάθους, που θα μπορούσε να επηρεάσει συνολικά την έννοια ενός θέματος.","Mechanical translation holds the risk of error, which could overall affect the concept of a subject.",human translation
En löytäisi luotettavasti työssäni käytettäviä sanamuotoja (olen kääntäjä ja käännän neuvoston asiakirjoja).,I would not reliably find the wording of my work (I am a translator and I translate council documents).,machine translation
Leichter zu verstehen. Daher lese ich dann öfter.,Easier to understand. So I read more often.,ease of use
"Weniger exakte Formulierungen (das ist zumindest die Erfahrung, die ich mit der Nutzung von Programmen wie Chat GPT gemacht habe).",Less exact formulations (at least that's the experience that I have made with the use of programs such as chat GPT).,reliability
